Geography,Statistic,Expenditure,Year,Income Quintile
Alberta,Private transportation,10142.0,2017,Second
Alberta,Public transportation,854.0,2017,Second
Alberta,Health care,2288.0,2017,Second
Alberta,Personal care,823.0,2017,Second
Alberta,Recreation,2881.0,2017,Second
Alberta,Education,866.0,2017,Second
Alberta,Reading materials and other printed matter,104.0,2017,Second
Alberta,Tobacco products and alcoholic beverages (Terminated),1509.0,2017,Second
Alberta,Miscellaneous expenditures,1527.0,2017,Second
British Columbia,Food expenditures,7964.0,2017,Second
British Columbia,Shelter,17277.0,2017,Second
British Columbia,Household operations,3830.0,2017,Second
British Columbia,Household furnishings and equipment,1641.0,2017,Second
British Columbia,Clothing and accessories,2205.0,2017,Second
British Columbia,Private transportation,9095.0,2017,Second
British Columbia,Public transportation,1109.0,2017,Second
British Columbia,Health care,3042.0,2017,Second
British Columbia,Personal care,1004.0,2017,Second
British Columbia,Recreation,2418.0,2017,Second
British Columbia,Education,1237.0,2017,Second
British Columbia,Reading materials and other printed matter,124.0,2017,Second
British Columbia,Tobacco products and alcoholic beverages (Terminated),880.0,2017,Second
British Columbia,Games of chance,276.0,2017,Second
British Columbia,Miscellaneous expenditures,1331.0,2017,Second
Newfoundland and Labrador,Food expenditures,7618.0,2019,Second
Newfoundland and Labrador,Shelter,9741.0,2019,Second
Newfoundland and Labrador,Household operations,3428.0,2019,Second
Newfoundland and Labrador,Household furnishings and equipment,1315.0,2019,Second
Newfoundland and Labrador,Clothing and accessories,1932.0,2019,Second
Newfoundland and Labrador,Private transportation,8052.0,2019,Second
Newfoundland and Labrador,Public transportation,542.0,2019,Second
Newfoundland and Labrador,Health care,1733.0,2019,Second
Newfoundland and Labrador,Personal care,782.0,2019,Second
Newfoundland and Labrador,Recreation,2752.0,2019,Second
Newfoundland and Labrador,Reading materials and other printed matter,60.0,2019,Second
Newfoundland and Labrador,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1392.0,2019,Second
Newfoundland and Labrador,Games of chance,176.0,2019,Second
Newfoundland and Labrador,Miscellaneous expenditures,744.0,2019,Second
Prince Edward Island,Food expenditures,6336.0,2019,Second
Prince Edward Island,Shelter,13136.0,2019,Second
Prince Edward Island,Household operations,3553.0,2019,Second
Prince Edward Island,Household furnishings and equipment,1470.0,2019,Second
Prince Edward Island,Clothing and accessories,1927.0,2019,Second
Prince Edward Island,Private transportation,7210.0,2019,Second
Prince Edward Island,Public transportation,663.0,2019,Second
Prince Edward Island,Health care,2199.0,2019,Second
Prince Edward Island,Personal care,726.0,2019,Second
Prince Edward Island,Recreation,2160.0,2019,Second
Prince Edward Island,Reading materials and other printed matter,146.0,2019,Second
Prince Edward Island,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1572.0,2019,Second
Prince Edward Island,Miscellaneous expenditures,1201.0,2019,Second
Nova Scotia,Food expenditures,6644.0,2019,Second
Nova Scotia,Shelter,11880.0,2019,Second
Nova Scotia,Household operations,4143.0,2019,Second
Nova Scotia,Household furnishings and equipment,1343.0,2019,Second
Nova Scotia,Clothing and accessories,1746.0,2019,Second
Nova Scotia,Private transportation,5382.0,2019,Second
Nova Scotia,Public transportation,651.0,2019,Second
Nova Scotia,Health care,2112.0,2019,Second
Nova Scotia,Personal care,797.0,2019,Second
Nova Scotia,Recreation,2115.0,2019,Second
Nova Scotia,Education,1838.0,2019,Second
Nova Scotia,Reading materials and other printed matter,130.0,2019,Second
Nova Scotia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1760.0,2019,Second
Nova Scotia,Games of chance,186.0,2019,Second
Nova Scotia,Miscellaneous expenditures,1126.0,2019,Second
New Brunswick,Food expenditures,6336.0,2019,Second
New Brunswick,Shelter,10641.0,2019,Second
New Brunswick,Household operations,3827.0,2019,Second
New Brunswick,Household furnishings and equipment,1738.0,2019,Second
New Brunswick,Clothing and accessories,1613.0,2019,Second
New Brunswick,Private transportation,7953.0,2019,Second
New Brunswick,Public transportation,341.0,2019,Second
New Brunswick,Health care,2296.0,2019,Second
New Brunswick,Personal care,681.0,2019,Second
New Brunswick,Recreation,2059.0,2019,Second
New Brunswick,Education,530.0,2019,Second
New Brunswick,Reading materials and other printed matter,71.0,2019,Second
New Brunswick,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1519.0,2019,Second
New Brunswick,Games of chance,264.0,2019,Second
New Brunswick,Miscellaneous expenditures,631.0,2019,Second
Quebec,Food expenditures,7601.0,2019,Second
Quebec,Shelter,11233.0,2019,Second
Quebec,Household operations,3131.0,2019,Second
Quebec,Household furnishings and equipment,1207.0,2019,Second
Quebec,Clothing and accessories,1921.0,2019,Second
Quebec,Private transportation,5486.0,2019,Second
Quebec,Public transportation,621.0,2019,Second
Quebec,Health care,1960.0,2019,Second
Quebec,Personal care,727.0,2019,Second
Quebec,Recreation,2224.0,2019,Second
Quebec,Education,411.0,2019,Second
Quebec,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1541.0,2019,Second
Quebec,Games of chance,186.0,2019,Second
Quebec,Miscellaneous expenditures,963.0,2019,Second
Ontario,Food expenditures,8012.0,2019,Second
Ontario,Shelter,16727.0,2019,Second
Ontario,Household operations,4167.0,2019,Second
Ontario,Household furnishings and equipment,1921.0,2019,Second
Ontario,Clothing and accessories,3021.0,2019,Second
Ontario,Private transportation,7910.0,2019,Second
Ontario,Public transportation,1143.0,2019,Second
Ontario,Health care,2268.0,2019,Second
Ontario,Personal care,1160.0,2019,Second
Ontario,Recreation,3100.0,2019,Second
Ontario,Education,1071.0,2019,Second
Ontario,Reading materials and other printed matter,111.0,2019,Second
Ontario,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1520.0,2019,Second
Ontario,Games of chance,142.0,2019,Second
Ontario,Miscellaneous expenditures,1174.0,2019,Second
Manitoba,Food expenditures,7684.0,2019,Second
Manitoba,Shelter,13555.0,2019,Second
Manitoba,Household operations,3701.0,2019,Second
Manitoba,Household furnishings and equipment,1492.0,2019,Second
Manitoba,Clothing and accessories,1732.0,2019,Second
Manitoba,Private transportation,7312.0,2019,Second
Manitoba,Public transportation,820.0,2019,Second
Manitoba,Health care,2626.0,2019,Second
Manitoba,Personal care,766.0,2019,Second
Manitoba,Recreation,2604.0,2019,Second
Manitoba,Reading materials and other printed matter,116.0,2019,Second
Manitoba,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1285.0,2019,Second
Manitoba,Miscellaneous expenditures,1262.0,2019,Second
Saskatchewan,Food expenditures,7837.0,2019,Second
Saskatchewan,Shelter,14162.0,2019,Second
Saskatchewan,Household operations,4538.0,2019,Second
Saskatchewan,Household furnishings and equipment,2231.0,2019,Second
Saskatchewan,Clothing and accessories,1851.0,2019,Second
Saskatchewan,Private transportation,7710.0,2019,Second
Saskatchewan,Public transportation,843.0,2019,Second
Saskatchewan,Health care,2433.0,2019,Second
Saskatchewan,Personal care,678.0,2019,Second
Saskatchewan,Recreation,2721.0,2019,Second
Saskatchewan,Reading materials and other printed matter,83.0,2019,Second
Saskatchewan,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1534.0,2019,Second
Saskatchewan,Games of chance,221.0,2019,Second
Saskatchewan,Miscellaneous expenditures,2158.0,2019,Second
Alberta,Food expenditures,8486.0,2019,Second
Alberta,Shelter,17370.0,2019,Second
Alberta,Household operations,5071.0,2019,Second
Alberta,Household furnishings and equipment,1795.0,2019,Second
Alberta,Clothing and accessories,2913.0,2019,Second
Alberta,Private transportation,8751.0,2019,Second
Alberta,Public transportation,1084.0,2019,Second
Alberta,Health care,2584.0,2019,Second
Alberta,Personal care,1150.0,2019,Second
Alberta,Recreation,3984.0,2019,Second
Alberta,Education,989.0,2019,Second
Alberta,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1823.0,2019,Second
Alberta,Miscellaneous expenditures,1548.0,2019,Second
British Columbia,Food expenditures,8803.0,2019,Second
British Columbia,Shelter,18102.0,2019,Second
British Columbia,Household operations,3937.0,2019,Second
British Columbia,Household furnishings and equipment,1497.0,2019,Second
British Columbia,Clothing and accessories,2491.0,2019,Second
British Columbia,Private transportation,8775.0,2019,Second
British Columbia,Public transportation,1492.0,2019,Second
British Columbia,Health care,2845.0,2019,Second
British Columbia,Personal care,985.0,2019,Second
British Columbia,Recreation,3081.0,2019,Second
British Columbia,Education,2626.0,2019,Second
British Columbia,Reading materials and other printed matter,123.0,2019,Second
British Columbia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1571.0,2019,Second
British Columbia,Games of chance,166.0,2019,Second
British Columbia,Miscellaneous expenditures,1560.0,2019,Second
Newfoundland and Labrador,Food expenditures,8403.0,2021,Second
Newfoundland and Labrador,Shelter,11186.0,2021,Second
Newfoundland and Labrador,Household operations,3556.0,2021,Second
Newfoundland and Labrador,Household furnishings and equipment,2642.0,2021,Second
Newfoundland and Labrador,Clothing and accessories,1311.0,2021,Second
Newfoundland and Labrador,Private transportation,7517.0,2021,Second
Newfoundland and Labrador,Public transportation,165.0,2021,Second
Newfoundland and Labrador,Health care,2296.0,2021,Second
Newfoundland and Labrador,Personal care,1077.0,2021,Second
Newfoundland and Labrador,Recreation,2019.0,2021,Second
Newfoundland and Labrador,Reading materials and other printed matter,100.0,2021,Second
Newfoundland and Labrador,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1110.0,2021,Second
Newfoundland and Labrador,Miscellaneous expenditures,508.0,2021,Second
Prince Edward Island,Food expenditures,6324.0,2021,Second
Prince Edward Island,Shelter,12230.0,2021,Second
Prince Edward Island,Household operations,4267.0,2021,Second
Prince Edward Island,Household furnishings and equipment,2399.0,2021,Second
Prince Edward Island,Clothing and accessories,861.0,2021,Second
Prince Edward Island,Private transportation,5554.0,2021,Second
Prince Edward Island,Public transportation,189.0,2021,Second
Prince Edward Island,Health care,2293.0,2021,Second
Prince Edward Island,Personal care,747.0,2021,Second
Prince Edward Island,Recreation,2033.0,2021,Second
Prince Edward Island,Reading materials and other printed matter,123.0,2021,Second
Prince Edward Island,Miscellaneous expenditures,780.0,2021,Second
Nova Scotia,Food expenditures,6766.0,2021,Second
Nova Scotia,Shelter,13159.0,2021,Second
Nova Scotia,Household operations,4275.0,2021,Second
Nova Scotia,Household furnishings and equipment,1902.0,2021,Second
Nova Scotia,Clothing and accessories,1281.0,2021,Second
Nova Scotia,Private transportation,7199.0,2021,Second
Nova Scotia,Public transportation,302.0,2021,Second
Nova Scotia,Health care,2325.0,2021,Second
Nova Scotia,Personal care,942.0,2021,Second
Nova Scotia,Recreation,2178.0,2021,Second
Nova Scotia,Education,1415.0,2021,Second
Nova Scotia,Reading materials and other printed matter,128.0,2021,Second
Nova Scotia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1726.0,2021,Second
Nova Scotia,Miscellaneous expenditures,745.0,2021,Second
New Brunswick,Food expenditures,8244.0,2021,Second
New Brunswick,Shelter,11099.0,2021,Second
New Brunswick,Household operations,3836.0,2021,Second
New Brunswick,Household furnishings and equipment,3010.0,2021,Second
New Brunswick,Clothing and accessories,1249.0,2021,Second
New Brunswick,Private transportation,5779.0,2021,Second
New Brunswick,Public transportation,146.0,2021,Second
New Brunswick,Health care,2272.0,2021,Second
New Brunswick,Personal care,924.0,2021,Second
New Brunswick,Recreation,1852.0,2021,Second
New Brunswick,Education,1155.0,2021,Second
New Brunswick,Reading materials and other printed matter,128.0,2021,Second
New Brunswick,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1400.0,2021,Second
New Brunswick,Miscellaneous expenditures,747.0,2021,Second
Quebec,Food expenditures,6587.0,2021,Second
Quebec,Shelter,10564.0,2021,Second
Quebec,Household operations,3163.0,2021,Second
Quebec,Household furnishings and equipment,2184.0,2021,Second
Quebec,Clothing and accessories,1493.0,2021,Second
Quebec,Private transportation,6028.0,2021,Second
Quebec,Public transportation,338.0,2021,Second
Quebec,Health care,2119.0,2021,Second
Quebec,Personal care,799.0,2021,Second
Quebec,Recreation,2640.0,2021,Second
Quebec,Education,473.0,2021,Second
Quebec,Reading materials and other printed matter,151.0,2021,Second
Quebec,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1379.0,2021,Second
Quebec,Games of chance,140.0,2021,Second
Quebec,Miscellaneous expenditures,648.0,2021,Second
Ontario,Food expenditures,7176.0,2021,Second
Ontario,Shelter,17342.0,2021,Second
Ontario,Household operations,3933.0,2021,Second
Ontario,Household furnishings and equipment,2111.0,2021,Second
Ontario,Clothing and accessories,1674.0,2021,Second
Ontario,Private transportation,5492.0,2021,Second
Ontario,Public transportation,575.0,2021,Second
Ontario,Health care,1978.0,2021,Second
Ontario,Personal care,732.0,2021,Second
Ontario,Recreation,2114.0,2021,Second
Ontario,Education,1708.0,2021,Second
Ontario,Reading materials and other printed matter,164.0,2021,Second
Ontario,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1224.0,2021,Second
Ontario,Games of chance,116.0,2021,Second
Manitoba,Food expenditures,7147.0,2021,Second
Manitoba,Shelter,13185.0,2021,Second
Manitoba,Household operations,4677.0,2021,Second
Manitoba,Household furnishings and equipment,1760.0,2021,Second
Manitoba,Clothing and accessories,1679.0,2021,Second
Manitoba,Private transportation,7246.0,2021,Second
Manitoba,Public transportation,322.0,2021,Second
Manitoba,Health care,2291.0,2021,Second
Manitoba,Personal care,1094.0,2021,Second
Manitoba,Recreation,4033.0,2021,Second
Manitoba,Education,823.0,2021,Second
Manitoba,Reading materials and other printed matter,259.0,2021,Second
Manitoba,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1321.0,2021,Second
Manitoba,Miscellaneous expenditures,757.0,2021,Second
Saskatchewan,Food expenditures,9532.0,2021,Second
Saskatchewan,Shelter,14429.0,2021,Second
Saskatchewan,Household operations,4154.0,2021,Second
Saskatchewan,Household furnishings and equipment,2577.0,2021,Second
Saskatchewan,Clothing and accessories,1229.0,2021,Second
Saskatchewan,Private transportation,7299.0,2021,Second
Saskatchewan,Public transportation,308.0,2021,Second
Saskatchewan,Health care,3280.0,2021,Second
Saskatchewan,Personal care,1430.0,2021,Second
Saskatchewan,Recreation,3810.0,2021,Second
Saskatchewan,Education,693.0,2021,Second
Saskatchewan,Reading materials and other printed matter,138.0,2021,Second
Saskatchewan,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1502.0,2021,Second
Saskatchewan,Games of chance,113.0,2021,Second
Saskatchewan,Miscellaneous expenditures,1013.0,2021,Second
Alberta,Food expenditures,9882.0,2021,Second
Alberta,Shelter,18598.0,2021,Second
Alberta,Household operations,4620.0,2021,Second
Alberta,Household furnishings and equipment,3157.0,2021,Second
Alberta,Clothing and accessories,1825.0,2021,Second
Alberta,Private transportation,7545.0,2021,Second
Alberta,Public transportation,521.0,2021,Second
Alberta,Health care,2397.0,2021,Second
Alberta,Personal care,1395.0,2021,Second
Alberta,Recreation,3250.0,2021,Second
Alberta,Education,1653.0,2021,Second
Alberta,Reading materials and other printed matter,163.0,2021,Second
Alberta,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1726.0,2021,Second
Alberta,Games of chance,208.0,2021,Second
Alberta,Miscellaneous expenditures,1726.0,2021,Second
British Columbia,Food expenditures,8932.0,2021,Second
British Columbia,Shelter,18129.0,2021,Second
British Columbia,Household operations,4068.0,2021,Second
British Columbia,Household furnishings and equipment,2239.0,2021,Second
British Columbia,Clothing and accessories,1643.0,2021,Second
British Columbia,Private transportation,8448.0,2021,Second
British Columbia,Public transportation,508.0,2021,Second
British Columbia,Health care,2634.0,2021,Second
British Columbia,Personal care,1207.0,2021,Second
British Columbia,Recreation,2589.0,2021,Second
British Columbia,Reading materials and other printed matter,130.0,2021,Second
British Columbia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1798.0,2021,Second
British Columbia,Miscellaneous expenditures,1346.0,2021,Second
Newfoundland and Labrador,Food expenditures,7345.0,2017,Third
Newfoundland and Labrador,Shelter,11733.0,2017,Third
Newfoundland and Labrador,Household operations,4159.0,2017,Third
Newfoundland and Labrador,Household furnishings and equipment,1781.0,2017,Third
Newfoundland and Labrador,Clothing and accessories,2495.0,2017,Third
Newfoundland and Labrador,Private transportation,10747.0,2017,Third
Newfoundland and Labrador,Public transportation,558.0,2017,Third
Newfoundland and Labrador,Health care,2500.0,2017,Third
Newfoundland and Labrador,Personal care,960.0,2017,Third
Newfoundland and Labrador,Recreation,3011.0,2017,Third
Newfoundland and Labrador,Reading materials and other printed matter,101.0,2017,Third
Newfoundland and Labrador,Tobacco products and alcoholic beverages (Terminated),1034.0,2017,Third
Newfoundland and Labrador,Games of chance,211.0,2017,Third
Newfoundland and Labrador,Miscellaneous expenditures,1085.0,2017,Third
Prince Edward Island,Food expenditures,6517.0,2017,Third
Prince Edward Island,Shelter,11681.0,2017,Third
Prince Edward Island,Household operations,4767.0,2017,Third
Prince Edward Island,Household furnishings and equipment,1475.0,2017,Third
Prince Edward Island,Clothing and accessories,2015.0,2017,Third
Prince Edward Island,Private transportation,10924.0,2017,Third
Prince Edward Island,Public transportation,550.0,2017,Third
Prince Edward Island,Health care,3018.0,2017,Third
Prince Edward Island,Personal care,663.0,2017,Third
Prince Edward Island,Recreation,1816.0,2017,Third
Prince Edward Island,Education,622.0,2017,Third
Prince Edward Island,Reading materials and other printed matter,105.0,2017,Third
Prince Edward Island,Tobacco products and alcoholic beverages (Terminated),963.0,2017,Third
Prince Edward Island,Miscellaneous expenditures,692.0,2017,Third
Nova Scotia,Food expenditures,8241.0,2017,Third
Nova Scotia,Shelter,12283.0,2017,Third
Nova Scotia,Household operations,4669.0,2017,Third
Nova Scotia,Household furnishings and equipment,1240.0,2017,Third
Nova Scotia,Clothing and accessories,2417.0,2017,Third
Nova Scotia,Private transportation,10407.0,2017,Third
Nova Scotia,Public transportation,594.0,2017,Third
Nova Scotia,Health care,2567.0,2017,Third
Nova Scotia,Personal care,811.0,2017,Third
Nova Scotia,Recreation,2291.0,2017,Third
Nova Scotia,Education,669.0,2017,Third
Nova Scotia,Reading materials and other printed matter,110.0,2017,Third
Nova Scotia,Tobacco products and alcoholic beverages (Terminated),1038.0,2017,Third
Nova Scotia,Games of chance,71.0,2017,Third
Nova Scotia,Miscellaneous expenditures,1038.0,2017,Third
New Brunswick,Food expenditures,7538.0,2017,Third
New Brunswick,Shelter,10370.0,2017,Third
New Brunswick,Household operations,4008.0,2017,Third
New Brunswick,Household furnishings and equipment,1462.0,2017,Third
New Brunswick,Clothing and accessories,2171.0,2017,Third
New Brunswick,Private transportation,11528.0,2017,Third
New Brunswick,Public transportation,261.0,2017,Third
New Brunswick,Health care,2636.0,2017,Third
New Brunswick,Personal care,768.0,2017,Third
New Brunswick,Recreation,2024.0,2017,Third
New Brunswick,Education,342.0,2017,Third
New Brunswick,Reading materials and other printed matter,125.0,2017,Third
New Brunswick,Tobacco products and alcoholic beverages (Terminated),1403.0,2017,Third
New Brunswick,Games of chance,124.0,2017,Third
New Brunswick,Miscellaneous expenditures,990.0,2017,Third
Quebec,Food expenditures,8446.0,2017,Third
Quebec,Shelter,12824.0,2017,Third
Quebec,Household operations,3843.0,2017,Third
Quebec,Household furnishings and equipment,2221.0,2017,Third
Quebec,Clothing and accessories,2650.0,2017,Third
Quebec,Private transportation,9920.0,2017,Third
Quebec,Public transportation,776.0,2017,Third
Quebec,Health care,2860.0,2017,Third
Quebec,Personal care,1147.0,2017,Third
Quebec,Recreation,3234.0,2017,Third
Quebec,Education,790.0,2017,Third
Quebec,Reading materials and other printed matter,109.0,2017,Third
Quebec,Tobacco products and alcoholic beverages (Terminated),1570.0,2017,Third
Quebec,Miscellaneous expenditures,1370.0,2017,Third
Ontario,Food expenditures,8863.0,2017,Third
Ontario,Shelter,19447.0,2017,Third
Ontario,Household operations,4695.0,2017,Third
Ontario,Household furnishings and equipment,2457.0,2017,Third
Ontario,Clothing and accessories,3381.0,2017,Third
Ontario,Private transportation,11179.0,2017,Third
Ontario,Public transportation,1383.0,2017,Third
Ontario,Health care,2205.0,2017,Third
Ontario,Personal care,1182.0,2017,Third
Ontario,Recreation,2749.0,2017,Third
Ontario,Education,1573.0,2017,Third
Ontario,Reading materials and other printed matter,132.0,2017,Third
Ontario,Tobacco products and alcoholic beverages (Terminated),1108.0,2017,Third
Ontario,Games of chance,134.0,2017,Third
Ontario,Miscellaneous expenditures,1590.0,2017,Third
Manitoba,Food expenditures,8037.0,2017,Third
Manitoba,Shelter,15536.0,2017,Third
Manitoba,Household operations,4383.0,2017,Third
Manitoba,Household furnishings and equipment,1553.0,2017,Third
Manitoba,Clothing and accessories,2906.0,2017,Third
Manitoba,Private transportation,13070.0,2017,Third
Manitoba,Public transportation,853.0,2017,Third
Manitoba,Health care,2457.0,2017,Third
Manitoba,Personal care,1030.0,2017,Third
Manitoba,Recreation,3004.0,2017,Third
Manitoba,Education,1229.0,2017,Third
Manitoba,Reading materials and other printed matter,169.0,2017,Third
Manitoba,Tobacco products and alcoholic beverages (Terminated),951.0,2017,Third
Manitoba,Miscellaneous expenditures,1938.0,2017,Third
Saskatchewan,Food expenditures,9063.0,2017,Third
Saskatchewan,Shelter,16883.0,2017,Third
Saskatchewan,Household operations,4888.0,2017,Third
Saskatchewan,Household furnishings and equipment,2354.0,2017,Third
Saskatchewan,Clothing and accessories,3434.0,2017,Third
Saskatchewan,Private transportation,12215.0,2017,Third
Saskatchewan,Public transportation,685.0,2017,Third
Saskatchewan,Health care,2410.0,2017,Third
Saskatchewan,Personal care,888.0,2017,Third
Saskatchewan,Recreation,3892.0,2017,Third
Saskatchewan,Education,993.0,2017,Third
Saskatchewan,Reading materials and other printed matter,126.0,2017,Third
Saskatchewan,Tobacco products and alcoholic beverages (Terminated),1635.0,2017,Third
Saskatchewan,Miscellaneous expenditures,1625.0,2017,Third
Alberta,Food expenditures,10868.0,2017,Third
Alberta,Shelter,20273.0,2017,Third
Alberta,Household operations,5429.0,2017,Third
Alberta,Household furnishings and equipment,2198.0,2017,Third
Alberta,Clothing and accessories,3373.0,2017,Third
Alberta,Private transportation,12466.0,2017,Third
Alberta,Public transportation,1466.0,2017,Third
Alberta,Health care,3013.0,2017,Third
Alberta,Personal care,1344.0,2017,Third
Alberta,Recreation,4077.0,2017,Third
Alberta,Education,1490.0,2017,Third
Alberta,Tobacco products and alcoholic beverages (Terminated),1517.0,2017,Third
Alberta,Miscellaneous expenditures,2074.0,2017,Third
British Columbia,Food expenditures,9643.0,2017,Third
British Columbia,Shelter,19228.0,2017,Third
British Columbia,Household operations,5522.0,2017,Third
British Columbia,Household furnishings and equipment,2342.0,2017,Third
British Columbia,Clothing and accessories,3391.0,2017,Third
British Columbia,Private transportation,11640.0,2017,Third
British Columbia,Public transportation,1704.0,2017,Third
British Columbia,Health care,3089.0,2017,Third
British Columbia,Personal care,1287.0,2017,Third
British Columbia,Recreation,4379.0,2017,Third
British Columbia,Education,2442.0,2017,Third
British Columbia,Reading materials and other printed matter,207.0,2017,Third
British Columbia,Tobacco products and alcoholic beverages (Terminated),1729.0,2017,Third
British Columbia,Games of chance,74.0,2017,Third
British Columbia,Miscellaneous expenditures,1843.0,2017,Third
Newfoundland and Labrador,Food expenditures,9568.0,2019,Third
Newfoundland and Labrador,Shelter,12366.0,2019,Third
Newfoundland and Labrador,Household operations,4789.0,2019,Third
Newfoundland and Labrador,Household furnishings and equipment,1901.0,2019,Third
Newfoundland and Labrador,Clothing and accessories,2876.0,2019,Third
Newfoundland and Labrador,Private transportation,12719.0,2019,Third
Newfoundland and Labrador,Public transportation,786.0,2019,Third
Newfoundland and Labrador,Health care,2727.0,2019,Third
Newfoundland and Labrador,Personal care,1066.0,2019,Third
Newfoundland and Labrador,Recreation,3681.0,2019,Third
Newfoundland and Labrador,Education,238.0,2019,Third
Newfoundland and Labrador,Reading materials and other printed matter,114.0,2019,Third
Newfoundland and Labrador,"Tobacco products, alcoholic beverages and cannabis for non-medical use",2102.0,2019,Third
Newfoundland and Labrador,Games of chance,410.0,2019,Third
Newfoundland and Labrador,Miscellaneous expenditures,1174.0,2019,Third
Prince Edward Island,Food expenditures,8118.0,2019,Third
Prince Edward Island,Shelter,12226.0,2019,Third
Prince Edward Island,Household operations,5308.0,2019,Third
Prince Edward Island,Household furnishings and equipment,1737.0,2019,Third
Prince Edward Island,Clothing and accessories,2363.0,2019,Third
Prince Edward Island,Private transportation,11950.0,2019,Third
Prince Edward Island,Public transportation,479.0,2019,Third
Prince Edward Island,Health care,2540.0,2019,Third
Prince Edward Island,Personal care,856.0,2019,Third
Prince Edward Island,Recreation,2906.0,2019,Third
Prince Edward Island,Reading materials and other printed matter,167.0,2019,Third
Prince Edward Island,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1896.0,2019,Third
Prince Edward Island,Miscellaneous expenditures,1115.0,2019,Third
Nova Scotia,Food expenditures,9080.0,2019,Third
Nova Scotia,Shelter,16272.0,2019,Third
Nova Scotia,Household operations,5338.0,2019,Third
Nova Scotia,Household furnishings and equipment,1950.0,2019,Third
Nova Scotia,Clothing and accessories,2283.0,2019,Third
Nova Scotia,Private transportation,10451.0,2019,Third
Nova Scotia,Public transportation,748.0,2019,Third
Nova Scotia,Health care,2638.0,2019,Third
Nova Scotia,Personal care,942.0,2019,Third
Nova Scotia,Recreation,3579.0,2019,Third
Nova Scotia,Education,1173.0,2019,Third
Nova Scotia,Reading materials and other printed matter,143.0,2019,Third
Nova Scotia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",2128.0,2019,Third
Nova Scotia,Games of chance,137.0,2019,Third
Nova Scotia,Miscellaneous expenditures,1025.0,2019,Third
New Brunswick,Food expenditures,9214.0,2019,Third
New Brunswick,Shelter,12536.0,2019,Third
New Brunswick,Household operations,4904.0,2019,Third
New Brunswick,Household furnishings and equipment,2232.0,2019,Third
New Brunswick,Clothing and accessories,1972.0,2019,Third
New Brunswick,Private transportation,11923.0,2019,Third
New Brunswick,Public transportation,471.0,2019,Third
New Brunswick,Health care,3299.0,2019,Third
New Brunswick,Personal care,944.0,2019,Third
New Brunswick,Recreation,3029.0,2019,Third
New Brunswick,Education,355.0,2019,Third
New Brunswick,Reading materials and other printed matter,86.0,2019,Third
New Brunswick,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1758.0,2019,Third
New Brunswick,Games of chance,269.0,2019,Third
New Brunswick,Miscellaneous expenditures,833.0,2019,Third
Quebec,Food expenditures,9362.0,2019,Third
Quebec,Shelter,14235.0,2019,Third
Quebec,Household operations,4055.0,2019,Third
Quebec,Household furnishings and equipment,2092.0,2019,Third
Quebec,Clothing and accessories,2858.0,2019,Third
Quebec,Private transportation,9036.0,2019,Third
Quebec,Public transportation,868.0,2019,Third
Quebec,Health care,3058.0,2019,Third
Quebec,Personal care,1284.0,2019,Third
Quebec,Recreation,2915.0,2019,Third
Quebec,Education,807.0,2019,Third
Quebec,Reading materials and other printed matter,127.0,2019,Third
Quebec,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1601.0,2019,Third
Quebec,Games of chance,175.0,2019,Third
Quebec,Miscellaneous expenditures,1265.0,2019,Third
Ontario,Food expenditures,9884.0,2019,Third
Ontario,Shelter,20039.0,2019,Third
Ontario,Household operations,5200.0,2019,Third
Ontario,Household furnishings and equipment,2563.0,2019,Third
Ontario,Clothing and accessories,3014.0,2019,Third
Ontario,Private transportation,10992.0,2019,Third
Ontario,Public transportation,1287.0,2019,Third
Ontario,Health care,2153.0,2019,Third
Ontario,Personal care,1199.0,2019,Third
Ontario,Recreation,3341.0,2019,Third
Ontario,Education,1634.0,2019,Third
Ontario,Reading materials and other printed matter,133.0,2019,Third
Ontario,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1543.0,2019,Third
Ontario,Games of chance,163.0,2019,Third
Ontario,Miscellaneous expenditures,1689.0,2019,Third
Manitoba,Food expenditures,8951.0,2019,Third
